Course,Professor,PostDate,ReviewContent
英语阅读,黄家辉,06-15,"我记得以前就是分小组阅读一本英语原著,然后做PPT展示😂这课挺麻烦的,还要看慕课啥的,期末一般考书上的原题,就是不知道现在怎么样"
英语阅读,黄家辉,06-15,"真的很温柔,英文授课,本momo上完之后口语进步了好多😋"
英语综合技能与应用II,Pramodh VKumer,06-14,还行
政治经济学,王雪琴,06-15,给分超级好 超级喜欢这个老师 超级超级好
政治经济学,王雪琴,05-26,"老师讲课,娓娓道来。接受度很好,线下答疑时间很多。老师上课对于纪律要求不严苛。"
政治经济学,王卫卿,05-25,"王老师讲课非常有趣,枯燥的知识也能进行非常生动的讲解。在课间还会给我们放音乐放松什么的😴😴平时作业量也不大。期末的平时分给得很高,只要完成每次作业不缺勤那拿到的平时分就还蛮高的。"
中国传统文化概论,崔雪茹,06-11,崔老师会捞的 你只要课都去然后论文好好写 她平时分给很高的
中国传统文化概论,夏微,06-15,"给分蛮高的,划重点那些也很给力"
中国传统文化概论,夏微,06-15,"分不错,事多,每节课抽点名回答问题,有pre,论文"
中国近现代史纲要,郭文,06-13,"会划重点,押题比较准"
中国近现代史纲要,黄世坤,06-15,"真的很高了😭,老师上课也很负责认真,他会点人回答"
中国近现代史纲要,黄世坤,06-15,"黄老师就是喜欢往后走罢了,讲的很卖力是真的"
中国近现代史纲要,袁上/邓育苗,06-03,挺好的吧 平时分90➕
中国艺术史,廖奇琦,06-10,"廖老师人很好的,教的也很好,也不会故意卡分"
中国哲学史,崔雪茹,06-11,"语速贼快,而且不完全按书讲,勾书的时候找半天找不到她说的那句话在哪儿"
综合英语II,刘径华,06-15,还行 就是有一次大的小组展示 然后课堂小组活动 平时分的很细
综合英语II,刘径华,05-26,"老师很负责,英语考试都会提前给我们预热。会有阶段性小测,课堂气氛好🫶"
财经英语时文阅读,程莉娜,05-25 11:38,老师人超好，温柔漂亮课讲的也挺好，不过小组作业有点难度，我们当时是销售商品然后用英文介绍。
财经英语时文阅读,杨佳,05-25 11:38,事情比较多，不过如果认真完成而且做得不错的话平时分还挺好的
财经英语时文阅读,杨佳,05-25 11:38,yj老师事是比较多，但是如果你完成的并且上课主动回答问题让她记住你了，分也分就不会低
程序设计及应用 (Python),陈斌,05-25 11:36,平时分高，同学评价好
程序设计及应用 (JAVA),韩延明,05-25 11:36,不容易挂，考的不难的老师人也很好
财经英语时文阅读,李朝容,05-25 11:37,李老师温柔的大美女，选她选她，事少分高
财经英语时文阅读,李朝容,05-25 11:37,平时分：五次回答问题➕两次测试➕小组展示😤需要主动回答问题
财经英语时文阅读,汪平,05-25 11:37,想学东西就选汪平老师！！教的真的很好，英语水平肉眼可见提升
财经英语时文阅读,汪平,05-25 11:37,汪老师人真的好好呀，她打分特别高
财经英语时文阅读,敖玉兰,05-25 11:37,超级好，平时会有一次演讲然后会有小测试，期末是考试
